id_produto,id_categoria,codpro,descricao,emb,prunit
3501,4,100578,ABECEDARIO DE MARCACAO BRASFORT 5mm,JG,22.730
3502,4,100579,ABECEDARIO DE MARCACAO BRASFORT 8mm,JG,47.930
3503,4,016758,ABECEDARIO DE MARCACAO STARFER 3 mm,JG,15.327
3504,4,016759,ABECEDARIO DE MARCACAO STARFER 4 mm,JG,15.967
3505,4,016761,ABECEDARIO DE MARCACAO STARFER 5 mm,JG,21.286
3506,4,016762,ABECEDARIO DE MARCACAO STARFER 6 mm,JG,29.908
3507,4,016763,ABECEDARIO DE MARCACAO STARFER 8 mm,JG,45.023
3508,4,100580,ALGARISMO DE MARCACAO BRASFORT 8mm,JG,17.500
3509,4,016766,ALGARISMO DE MARCACAO STARFER 4 mm,JG,5.322
3510,4,016767,ALGARISMO DE MARCACAO STARFER 5 mm,JG,7.664
3511,4,016768,ALGARISMO DE MARCACAO STARFER 6 mm,JG,10.005
3512,4,016769,ALGARISMO DE MARCACAO STARFER 8 mm,JG,16.286
3513,4,011888,ABAFADOR RUIDOS BRASFORT - MOD.FONE,PC,3.040
3514,4,001283,ABAFADOR RUIDOS PLASTCOR- MOD.CONCHA C/CA PT,PC,3.510
3515,4,097958,ABAFADOR RUIDOS REXON - MOD.FONE AR2- 415080,PC,6.700
3516,4,016518,ABAFADOR RUIDOS REXON - MOD.FONE.ABR PROFISS,PC,12.100
3517,4,014674,ABRACADEIRA HIDRAULICA INCA A  1/4"  * C/100,PT,15.470
3518,4,014688,ABRACADEIRA HIDRAULICA INCA B  5/16" * C/100,PT,20.860
3519,4,006774,ABRACADEIRA HIDRAULICA INCA C  3/8"  * C/100,PT,22.070
3520,4,089745,ABRACADEIRA HIDRAULICA INCA D  1/2"  * C/100,PT,28.200
3521,4,014677,ABRACADEIRA HIDRAULICA INCA E  5/8"  * C/100,PT,31.030
3522,4,014678,ABRACADEIRA HIDRAULICA INCA F  3/4"  * C/100,PT,33.400
3523,4,002247,ABRACAD.R.S/FIM INCA A(M)5/16x3/8-09mm C/100,PT,28.580
3524,4,002249,ABRACAD.R.S/FIM INCA B(M) 3/8x1/2-09mm C/100,PT,28.580
3525,4,002250,ABRACAD.R.S/FIM INCA C(M)1/2x5/8-09mm C/100,PT,28.580
3526,4,002251,ABRACAD.R.S/FIM INCA D(M)1/2 x3/4-09mm C/100,PT,28.580
3527,4,002252,ABRACAD.R.S/FIM INCA E(M)5/8 x3/4-09mm C/100,PT,28.580
3528,4,002253,ABRACAD.R.S/FIM INCA F(M)3/4 x1 - 09mm C/100,PT,28.580
3529,4,011514,ABRACAD.R.S/FIM INCA G 5/16x1/2 - 09mm C/100,PT,37.666
3530,4,009968,ABRACAD.R.S/FIM INCA H 5/16x3/8 - 09mm C/100,PT,37.666
3531,4,006834,ABRACAD.R.S/FIM INCA I 3/8 x1/2 - 09mm C/100,PT,37.666
3532,4,006847,ABRACAD.R.S/FIM INCA J 1/2 x5/8 - 09mm C/100,PT,37.666
3533,4,006850,ABRACAD.R.S/FIM INCA K 5/8 x3/4 - 09mm C/100,PT,37.666
3534,4,006863,ABRACAD.R.S/FIM INCA L 3/4 x 1  - 09mm C/100,PT,37.666
3535,4,006876,ABRACAD.R.S/FIM INCA M 1x1.1/2 *14mm - C/50,PT,50.347
3536,4,006889,ABRACAD.R.S/FIM INCA N 1.1/2x2 *14mm - C/50,PT,56.053
3537,4,006893,ABRACAD.R.S/FIM INCA O 2x2.1/2 *14mm - C/50,PT,61.579
3538,4,006906,ABRACAD.R.S/FIM INCA P 2.1/2x3 *14mm - C/25,PT,33.587
3539,4,006919,ABRACAD.R.S/FIM INCA Q 3x3.1/2 *14mm - C/25,PT,36.435
3540,4,006922,ABRACAD.R.S/FIM INCA R 3.1/2x4 *14mm - C/25,PT,39.195
3541,4,101270,ABRACAD.R.S/FIM JOMARCA A 3/8 x1/2 - C/100,PT,23.900
3542,4,101271,ABRACAD.R.S/FIM JOMARCA B 1/2 x5/8 - C/100,PT,23.900
3543,4,101272,ABRACAD.R.S/FIM JOMARCA C 5/8 x3/4 - C/100,PT,23.900
3544,4,101273,ABRACAD.R.S/FIM JOMARCA D 3/4 x1   - C/100,PT,23.900
3545,4,101274,ABRACAD.R.S/FIM JOMARCA L 1 x1.1/2 - C/100,PT,40.870
3546,4,101275,ABRACAD.R.S/FIM JOMARCA M 1.1/2x2  - C/ 50,PT,23.850
3547,4,101276,ABRACAD.R.S/FIM JOMARCA N 2 x2.1/2  C-  50,PT,25.000
3548,4,101277,ABRACAD.R.S/FIM JOMARCA O 2.1/2x3  - C/ 50,PT,28.240
3549,4,101278,ABRACAD.R.S/FIM JOMARCA P 3 x3.1/2 - C/ 25,PT,15.650
3550,4,101279,ABRACAD.R.S/FIM JOMARCA Q 3.1/2x4   - C/25,PT,17.150
3551,4,100670,ABRACAD.R.S/FIM POLYTECNO A 3/8x1/2 - C/100,PT,23.800
3552,4,100673,ABRACAD.R.S/FIM POLYTECNO D 3/4x 1  - C/100,PT,23.800
3553,4,058214,ABRACAD.R.S/FIM PROGERAL A 3/8x1/2 - C/100,PT,26.800
3554,4,058227,ABRACAD.R.S/FIM PROGERAL B 1/2x5/8 - C/100,PT,26.800
3555,4,058230,ABRACAD.R.S/FIM PROGERAL C 5/8x3/4 - C/100,PT,26.800
3556,4,058243,ABRACAD.R.S/FIM PROGERAL D 3/4x 1  - C/100,PT,26.800
3557,4,010041,ABRACAD.R.S/FIM PROGERAL L 1x1.1/2 - C/ 50,PT,22.800
3558,4,010044,ABRACAD.R.S/FIM PROGERAL M 1.1/2x2 - C/50,PT,26.200
3559,4,010046,ABRACAD.R.S/FIM PROGERAL N 2x2.1/2 - C/50,PT,27.400
3560,4,010098,ABRACAD.R.S/FIM PROGERAL O 2.1/2x3 - C/25,PT,15.120
3561,4,010128,ABRACAD.R.S/FIM PROGERAL P 3x3.1/2 - C/25,PT,16.500
3562,4,010129,ABRACAD.R.S/FIM PROGERAL Q 3.1/2x4 - C/25,PT,18.100
3563,4,018932,ABRACAD.R.S/FIM PROGERAL R 1x1.1/2*14mm-C/50,PT,29.100
3564,4,018933,ABRACAD.R.S/FIM PROGERAL S 1.1/2x2*14mm-C/50,PT,31.800
3565,4,018934,ABRACAD.R.S/FIM PROGERAL T 2x2.1/2*14mm-C/50,PT,35.200
3566,4,018935,ABRACAD.R.S/FIM PROGERAL U 2.1/2x3*14mm-C/25,PT,19.420
3567,4,064014,ABRACAD.R.S/FIM PROGERAL V 3x3.1/2*14mm-C/25,PT,20.700
3568,4,018936,ABRACAD.R.S/FIM PROGERAL X 3.1/2x4*14mm-C/25,PT,22.600
3569,4,015491,ADESIVO 3M P/JUNTA DE MOTOR 73 Gr,PC,2.690
3570,4,012471,ACESS.P/GAS ADAPTADOR  T - 5/8,CA,6.072
3571,4,012473,ACESS.P/GAS ADAPTADOR 90o. - 1/2x3/8,PC,3.864
3572,4,012472,ACESS.P/GAS ADAPTADOR 90o. -.1/2x1/2,PC,3.864
3573,4,012474,ACESS.P/GAS ADAPTADOR MACHO.90o. -.5/8x1/2,PC,6.792
3574,4,012477,ACESS.P/GAS EXDERDUT 1.20 M,PC,9.360
3575,4,012478,ACESS.P/GAS EXTERDUT 1.50 M,PC,10.656
3576,4,012479,ACESS.P/GAS FIXAFLEX ADAPT.VERTICAL 5/8x1/2,PC,6.324
3577,4,012480,ACESS.P/GAS LIGACAO FLEX. 3/8x1/2x5/8-300 mm,PC,7.704
3578,4,018298,ACESS.P/GAS LIGACAO FLEX. 3/8x1/2 - 400mm,PC,10.440
3579,4,012486,ACESS.P/GAS NIPLE A 5/8x5/8,PC,2.028
3580,4,012483,ACESS.P/GAS NIPLE B 5/8x3/8,PC,3.576
3581,4,012484,ACESS.P/GAS NIPLE C 5/8x1/2,PC,3.864
3582,4,012035,ACESS.P/GAS PAREDUT 150 mm,PC,9.264
3583,4,012036,ACESS.P/GAS PAREDUT 200 mm,PC,9.936
3584,4,012037,ACESS.P/GAS PAREDUT 250 mm,PC,10.608
3585,4,012038,ACESS.P/GAS PORCA P/TUBO DE GAS 3/8-C/4p,CA,4.800
3586,4,012487,ACESS.P/GAS REDUCAO RETA C/R 1/2x5/8,PC,3.768
3587,4,009946,ABRACAD.IRRIGACAO INCA REFORCADA A 3/4"*21MM,PC,2.341
3588,4,009947,ABRACAD.IRRIGACAO INCA REFORCADA B 7/8"*21MM,PC,2.676
3589,4,009948,ABRACAD.IRRIGACAO INCA REFORCADA C 1"  *21MM,PC,3.050
3590,4,009949,ABRACAD.IRRIGACAO INCA REFORCADA D 1.1/4*21M,PC,3.345
3591,4,009950,ABRACAD.IRRIGACAO INCA REFORCADA E 1.1/2*21M,PC,3.560
3592,4,009951,ABRACAD.IRRIGACAO INCA REFORCADA F 1.3/4*21M,PC,3.846
3593,4,009952,ABRACAD.IRRIGACAO INCA REFORCADA G 2" * 21MM,PC,4.014
3594,4,009953,ABRACAD.IRRIGACAO INCA REFORCADA H 2.1/4*21M,PC,4.348
3595,4,009954,ABRACAD.IRRIGACAO INCA REFORCADA I 2.1/2*21M,PC,4.740
3596,4,009955,ABRACAD.IRRIGACAO INCA REFORCADA J 2.3/4*21M,PC,4.849
3597,4,009956,ABRACAD.IRRIGACAO INCA REFORCADA K 3" * 21MM,PC,5.100
3598,4,010426,ABRIDOR DE LATAS /GARRAFA ZINC. CX. C/12,DZ,3.840
3599,4,000768,ABRIDOR DE LATAS /GARRAFA ZINC.METALDAVI,PC,0.670
3600,4,016636,ACESSORIOS P/VARAL DE TETO MAXEB,PC,5.010
3601,4,061640,ADAPTADOR P/BOTIJAO R.FINA 3/8 (P-2)x7/16,PC,1.580
3602,4,061653,ADAPTADOR P/BOTIJAO R.GROSSA 5/8 (P-13)x1/2,PC,0.940
3603,4,096933,ADAPT.HASTE/FLANGE P/DISCO BORR.1/4  KIT-M 5,PC,3.260
3604,4,096946,ADAPT.HASTE/FLANGE P/FIXACAO 1/2 MIL KITS M6,PC,3.800
3605,4,013905,ADAPT.HASTE/FLANGE ADAPT+DISCO BORR+BOINA M2,PC,11.950
3606,4,000954,ADAPT.P/SOQ. ESTR.WAFT CR.VAN. 1/2x3/4  6161,PC,8.050
3607,4,013911,AFIADOR P/FACA MIL KITS P/FURADEIRA      M 1,PC,15.000
3608,4,102459,AGUA P/BATERIA GITANES 1 LITRO,PC,1.130
3609,4,075528,ALAVANCA COSTA 1" - 1.50 M.,PC,29.000
3610,4,100771,ALAVANCA COSTA 1" - 1.80 M.,PC,36.830
3611,4,010200,ALDRAVA 16x50,CT,43.700
3612,4,010201,ALDRAVA 19x80,CT,51.000
3613,4,010257,ALFANJE TRAMONTINA S/C 20",PC,27.820
3614,4,010258,ALFANJE TRAMONTINA S/C 22",PC,28.360
3615,4,041521,ALICATE ANEIS CORNETA EXTERNO 388-7 CURVO,PC,20.590
3616,4,041534,ALICATE ANEIS CORNETA EXTERNO 388-7 RETO,PC,20.590
3617,4,041548,ALICATE ANEIS CORNETA INTERNO 387-7 CURVO,PC,20.590
3618,4,041551,ALICATE ANEIS CORNETA INTERNO 387-7 RETO,PC,20.590
3619,4,101503,ALICATE ANEIS PREMIUM EXTERNO CURVO,PC,9.650
3620,4,101504,ALICATE ANEIS PREMIUM EXTERNO RETO,PC,9.650
3621,4,101505,ALICATE ANEIS PREMIUM INTERNO CURVO,PC,9.650
3622,4,101506,ALICATE ANEIS PREMIUM INTERNO RETO,PC,9.650
3623,4,017443,ALICATE ANEIS STARFER EXTERNO CURVO,PC,9.116
3624,4,017444,ALICATE ANEIS STARFER EXTERNO RETO,PC,9.116
3625,4,017445,ALICATE ANEIS STARFER INTERNO CURVO,PC,9.116
3626,4,017447,ALICATE ANEIS STARFER INTERNO RETO,PC,9.116
3627,4,100285,ALICATE AZULEJISTA CORTAG,PC,9.800
3628,4,001048,ALICATE BICO M.CANA BRASF.ISOL.6"1000V- 6230,PC,10.800
3629,4,017946,ALICATE BICO M.CANA BRASF.PROF.5" POL.- 8008,PC,5.160
3630,4,073742,ALICATE BICO M.CANA BRASF.PROF.6" POL.- 8004,PC,5.460
3631,4,017955,ALICATE BICO M.CANA BRASF.PROF.6" CR  - 8129,PC,7.070
3632,4,017319,ALICATE BICO M.CANA BRASF.PROF.6" NIQ.- 8792,PC,6.700
3633,4,010916,ALICATE BICO M.CANA BRASF.PROF.6" CRV - 8297,PC,7.070
3634,4,093955,ALICATE BICO M.CANA DIAMANTE 6"CR.-64076,PC,5.990
3635,4,019567,ALICATE BICO M.CANA EDA 6"  EXCELLENT,PC,2.440
3636,4,000799,ALICATE BICO M.CANA EDA 6" ISOLACAO 1000V.,PC,5.450
3637,4,015719,ALICATE BICO M.CANA EDA 6" PROF.L.PESADA  FL,PC,6.450
3638,4,002181,ALICATE BICO M.CANA EDA 6" PROFISS.CR.VANAD.,PC,6.980
3639,4,099586,ALICATE BICO M.CANA JOMARCA 6" PVC REF.2003,PC,3.980
3640,4,101525,ALICATE BICO M.CANA PREMIUM 6",PC,4.950
3641,4,101524,ALICATE BICO M.CANA THOMPSON 6",PC,5.860
3642,4,016454,ALICATE BICO M.CANA TRAMONTINA PVC 6",PC,16.180
3643,4,100147,ALICATE BICO M.CANA WESTERN PRO CR.V.2099-6",PC,5.560
3644,4,099585,ALICATE BICO REDONDO JOMARCA 6" PVC REF.2005,PC,4.100
3645,4,017442,ALICATE BICO REDONDO STARFER 6.5",PC,4.580
3646,4,002227,ALICATE BOMBA D`AGUA BRASFORT PROFISS. 10",PC,11.700
3647,4,002228,ALICATE BOMBA D`AGUA BRASFORT PROFISS. 12",PC,17.290
3648,4,041462,ALICATE BOMBA D`AGUA CORNETA - 360 PL,PC,27.500
3649,4,099043,ALICATE BOMBA D`AGUA EDA EXCELLENT 10",PC,5.630
3650,4,015720,ALICATE BOMBA D`AGUA EDA PROFISSIONAL 10",PC,8.190
3651,4,099587,ALICATE BOMBA D`AGUA JOMARCA 10" REF.2166,PC,7.900
3652,4,098123,ALICATE BOMBA D`AGUA LEE TOOLS PVC 10" CRV.,PC,12.730
3653,4,002166,ALICATE BOMBA D`AGUA LEE TOOLS PVC 12" CRV.,PC,16.850
3654,4,016652,ALICATE BOMBA D`AGUA STARFER 10",PC,7.350
3655,4,098642,ALICATE BOMBA D`AGUA UYUSTOOLS  8",PC,9.527
3656,4,001049,ALICATE CORTE DIAG. BRASF.ISOL.6"1000V- 6231,PC,9.500
3657,4,017947,ALICATE CORTE DIAG. BRASF.PROF.5" POL.- 8007,PC,5.280
3658,4,073725,ALICATE CORTE DIAG. BRASF.PROF.6" POL.- 8003,PC,5.520
3659,4,017320,ALICATE CORTE DIAG. BRASF.PROF.6" NIQ.- 8793,PC,6.670
3660,4,000802,ALICATE CORTE DIAG. EDA 6" EXCELENT,PC,2.420
3661,4,000798,ALICATE CORTE DIAG. EDA 6" ISOLACAO 1000V.,PC,5.450
3662,4,002183,ALICATE CORTE DIAG. EDA 6" PROFISS.CR.VANAD.,PC,6.980
3663,4,099584,ALICATE CORTE DIAG. JOMARCA 6"  PVC REF.2002,PC,3.980
3664,4,100814,ALICATE CORTE DIAG. LEE TOOLS 6"   686556,PC,4.860
3665,4,002121,ALICATE CORTE DIAG. MELFI PROF.6" POL.- 0502,PC,4.220
3666,4,101528,ALICATE CORTE DIAG. PREMIUM 6",PC,4.950
3667,4,018667,ALICATE CORTE DIAG. STARFER CR.VANAD. 5.1/2",PC,6.280
3668,4,018668,ALICATE CORTE DIAG. STARFER CR.VANAD. 6.1/2",PC,7.410
3669,4,101482,ALICATE CORTE DIAG. THOMPSON 6",PC,5.900
3670,4,016455,ALICATE CORTE DIAG. TRAMONTINA PVC 6",PC,15.410
3671,4,098643,ALICATE CORTE DIAG. UYUSTOOLS PVC 6",PC,5.794
3672,4,100148,ALICATE CORTE DIAG. WESTERN PRO CR.V.2098-6",PC,5.560
3673,4,002244,ALICATE CORTA CABOS CORNETA  5938301 - 7",pc,46.400
3674,4,011330,ALICATE CORTA CABOS CORNETA 5938300 - 7.1/2",PC,51.580
3675,4,019479,ALICATE CORTA CABOS CORNETA 5938423  -  23",PC,81.750
3676,4,001848,ALICATE P/COMPRESSAO COAXIAL SMART RG59/RG6,PC,34.950
3677,4,001847,ALICATE P/CRIMPAR DEZCOMP RJ11 - 2096,PC,10.600
3678,4,002077,ALICATE P/CRIMPAR DEZCOMP RJ11/12/45 C/CATR.,PC,25.650
3679,4,002071,ALICATE P/CRIMPAR EDA RJ09/11/45 C/CATRACA,pc,27.660
3680,4,001846,ALICATE P/CRIMPAR GC210C RJ45,PC,10.950
3681,4,102248,ALICATE P/CRIMPAR GC518 CONEC.RG 06/RG 59,PC,21.950
3682,4,000818,ALICATE P/CRIMPAR INTERN. RJ11/12/45 C/CATR.,PC,29.000
3683,4,027423,ALICATE DESCASCADOR FIOS AUTOMATICO LEE,PC,9.200
3684,4,018165,ALICATE DESCASCADOR FIOS AUTOMATICO STARFER,PC,2.270
3685,4,101911,ALICATE DESCASCADOR FIOS BRASFORT 6" - 8209,PC,8.140
3686,4,016688,ALICATE DESCASCADOR FIOS BRASFORT 7" - 8246,PC,2.650
3687,4,101769,ALICATE DESCASCADOR FIOS BRASFORT REFOR.8112,PC,8.170
3688,4,001852,ALICATE DESCASCADOR FIOS GC-332 COAX.RG59/6,PC,9.980
3689,4,018166,ALICATE DESCASCADOR FIOS T/UNIPEX STARFER,PC,8.300
3690,4,101531,ALICATE ELETRICISTA THOMPSON 8",PC,8.470
3691,4,041488,ALICATE FAZENDEIRO CORNETA - 386,PC,68.550
3692,4,016806,ALICATE FAZENDEIRO STARFER,PC,21.970
3693,4,101907,ALICATE MINI BRASFORT BICO M.CANA CURVO 8995,PC,3.700
3694,4,101908,ALICATE MINI BRASFORT BICO M.CANA LONGO 8996,PC,3.700
3695,4,101906,ALICATE MINI BRASFORT BICO M.CANA RETO  8994,PC,3.700
3696,4,101909,ALICATE MINI BRASFORT BICO REDONDO - 8997,PC,3.700
3697,4,101910,ALICATE MINI BRASFORT CORTE DIAGONAL - 8998,PC,3.700
3698,4,101905,ALICATE MINI BRASFORT UNIVERSAL PROF. - 8999,PC,3.700
3699,4,018786,ALICATE MINI LEE T. BICO M.CANA 4.1/2" CRV,PC,5.500
3700,4,018787,ALICATE MINI LEE T. BICO M.CANA 4.1/2"LONGO,PC,5.500
3701,4,018788,ALICATE MINI LEE T. CORTE DIAGONAL 4.1/2 CRV,PC,5.500
3702,4,010043,ALICATE PRESSAO BRASFORT CURVO 10" REF-8269,PC,8.400
3703,4,016187,ALICATE PRESSAO BRASFORT RETO 10" REF-8785,PC,8.400
3704,4,019480,ALICATE PRESSAO CORNETA CURVO 10" REF-331,PC,27.770
3705,4,015726,ALICATE PRESSAO EXCELLENT 10",PC,5.850
3706,4,089160,ALICATE PRESSAO GEDORE,PC,25.260
3707,4,099580,ALICATE PRESSAO JOMARCA CURVO 10",PC,7.400
3708,4,099581,ALICATE PRESSAO JOMARCA RETO 10",PC,7.180
3709,4,101526,ALICATE PRESSAO PREMIUM 10",PC,10.950
3710,4,018670,ALICATE PRESSAO STARFER 10",PC,9.180
3711,4,000533,ALICATE PRESSAO THOMPSON EMBORRACH.RETO 10",PC,15.200
