id_produto,id_categoria,codpro,descricao,emb,prunit
10649,3,102034,ACABAMENTO P/REGISTRO C-23 LATAO CR.,PC,3.820
10650,3,014101,ACABAMENTO P/REGISTRO C-50 LATAO CR. BLISTER,PC,7.200
10651,3,019317,ACABAMENTO P/REGISTRO C-50 LATAO CR. SAQ.,PC,6.550
10652,3,001239,ACABAMENTO P/REGISTRO BOGNAR 1/2 - 3/4  C-40,PC,8.880
10653,3,001240,ACABAMENTO P/REGISTRO BOGNAR 1/2 - 3/4  C-50,PC,8.880
10654,3,017647,ACABAMENTO P/REGISTRO UNIFIX C-50 CROMADO,PC,9.100
10655,3,017648,ACABAMENTO P/REGISTRO UNIFIX C-40 CROMADO,PC,9.100
10656,3,018495,ACABAMENTO VALVULA DESC.HIDRA HIGIBAN BRANCO,PC,12.360
10657,3,018496,ACABAMENTO VALVULA DESC.HIDRA HIGIBAN CINZA,PC,12.360
10658,3,018497,ACABAMENTO VALVULA DESC.HIDRA HIGIBAN BEGE,PC,12.360
10659,3,017554,ACABAMENTO VALVULA DESC.HIDRA HIGIBAN CROM.,PC,22.950
10660,3,099758,ACABAMENTO VALVULA DESC.HIDRA HYDRA BEGE,PC,22.000
10661,3,099759,ACABAMENTO VALVULA DESC.HIDRA HYDRA BRANCO,PC,22.000
10662,3,099760,ACABAMENTO VALVULA DESC.HIDRA HYDRA CROMADO,PC,49.500
10663,3,099761,ACABAMENTO VALVULA DESC.HIDRA HYDRA CINZA,PC,22.000
10664,3,001767,ACESS.P/WC ARTPLAS KIT C/05 PCS GOL BRANCO,PC,13.850
10665,3,001768,ACESS.P/WC ARTPLAS KIT C/05 PCS GOL PRATA,PC,13.850
10666,3,001763,ACESS.P/WC ARTPLAS PORTA SHAMPOO KANTINHO BR,PC,5.650
10667,3,001764,ACESS.P/WC ARTPLAS PORTA SHAMPOO KANTINHO BG,PC,5.650
10668,3,001766,ACESS.P/WC ARTPLAS PORTA SHAMPOO KANTINHO CZ,PC,5.650
10669,3,000235,ACESS.P/WC BRASIL KIT C/05 PCS BISCUIT,PC,14.170
10670,3,000236,ACESS.P/WC BRASIL KIT C/05 PCS BRANCO,PC,14.170
10671,3,000237,ACESS.P/WC BRASIL KIT C/05 PCS CINZA,PC,14.170
10672,3,099993,ACESS.P/WC BRASIL KIT C/05 PCS CROMADO,PC,14.170
10673,3,013134,ACESS.P/WC KRONA KIT C/5 pcs CREME,PC,10.500
10674,3,099840,ACESS.P/WC MILANO KIT C/03 PCS CROMADO,PC,10.700
10675,3,099087,ACESS.P/WC METASUL KIT C/05 PCS BEGE,PC,13.360
10676,3,099088,ACESS.P/WC METASUL KIT C/05 PCS CINZA,PC,13.360
10677,3,099089,ACESS.P/WC METASUL KIT C/05 PCS CARAMELO,PC,13.360
10678,3,001138,ACESS.P/WC MILANO PAPELEIRA ABS CROMADO,PC,5.300
10679,3,001139,ACESS.P/WC MILANO SABONETEIRA ABS CROMADO,PC,4.500
10680,3,018799,ACESS.P/WC OVERTIME PORTA SHAMPOO CANTO,PC,4.650
10681,3,018800,ACESS.P/WC OVERTIME PORTA SHAMPOO RETANGULAR,PC,4.300
10682,3,099093,ACESS.P/WC ROMA PORTA SHAMPOO ROMA BISCUIT,PC,7.950
10683,3,099094,ACESS.P/WC ROMA PORTA SHAMPOO CANTO BRANCO,PC,7.950
10684,3,099095,ACESS.P/WC ROMA PORTA SHAMPOO CANTO CINZA,PC,7.950
10685,3,001137,ACESS.P/WC ROMA PORTA SHAMPOO CANTO PRETO,PC,7.950
10686,3,099809,ADAPTADOR ESGOTO AMANCO PIA/LAVAT. 40mm No.1,PC,1.120
10687,3,099810,ADAPTADOR ESGOTO AMANCO PIA/LAVAT. 40mm No.2,PC,1.050
10688,3,018314,ADAPTADOR ESGOTO TIGRE SIFAO METAL 1.1/2x40,PC,1.203
10689,3,099808,ADAPTADOR P/MAQ.DE LAVAR ROUPA/LOUCA AMANCO,PC,5.260
10690,3,018857,ADAPTADOR P/MAQ.DE LAVAR ROUPA TIGRE,PC,8.420
10691,3,013900,ADAPTADOR P/VALVULA AMERICANA LUCONI BRANCO,PC,0.330
10692,3,013087,ADAPTAD.SOLD.C/FLANGE AMANCO 20 x 1/2",PC,4.770
10693,3,013089,ADAPTAD.SOLD.C/FLANGE AMANCO 25 x 3/4",PC,5.790
10694,3,099774,ADAPTAD.SOLD.C/FLANGE AMANCO 32 x 1",PC,8.700
10695,3,013090,ADAPTAD.SOLD.C/FLANGE AMANCO 50 x 1.1/2",PC,14.750
10696,3,014584,ADAPTAD.SOLD.C/FLANGE DAC 20x1/2",PC,2.800
10697,3,014585,ADAPTAD.SOLD.C/FLANGE DAC 25x3/4",PC,3.190
10698,3,014587,ADAPTAD.SOLD.C/FLANGE DAC 50x1.1/2",PC,6.490
10699,3,101967,ADAPTAD.SOLD.C/FLANGE FORMA 20x1/2",PC,2.570
10700,3,101968,ADAPTAD.SOLD.C/FLANGE FORMA 25x3/4",PC,2.700
