id_produto,id_categoria,codpro,descricao,emb,prunit
1,2,002116,ABAT-JOUR DE TOQUE RADICAL BOLA BR/CR 93718,PC,53.870
2,2,002115,ABAT-JOUR DE TOQUE RADICAL CILIND.CRO.MY2645,PC,81.500
3,2,102338,ABAT-JOUR DE TOQUE RADICAL CILIND.PTO MY2645,PC,81.500
4,2,102339,ABAT-JOUR DE TOQUE RADICAL CONICO CRO.L-0001,PC,85.900
5,2,102340,ABAT-JOUR DE TOQUE RADICAL CONICO PTO.L-0001,PC,85.900
6,2,102336,ABAT-JOUR DE TOQUE RADICAL CON.CURVA CR.L-02,PC,81.500
7,2,102337,ABAT-JOUR DE TOQUE RADICAL CON.CURVA PT.L-02,PC,81.500
8,2,012864,ABAT-JOUR DE TOQUE RADICAL CUPULA  L-826,PC,49.950
9,2,093295,ABAT-JOUR DE TOQUE RADICAL GUARDA-CHUVA L 55,PC,44.950
10,2,018552,ABAT-JOUR DE TOQUE RADICAL LIRIO      L 9W,PC,44.950
11,2,093308,ABAT-JOUR DE TOQUE RADICAL MEIA-LUA L-15 CR.,PC,44.950
12,2,018553,ABAT-JOUR DE TOQUE RADICAL PETALA      L-12,PC,44.950
13,2,010335,ABAT-JOUR DE TOQUE RADICAL PINGENTE L-825,PC,49.950
14,2,014457,ABRACADEIRA NYLON BRASF.BR 2.5mmx 60mm C/100,PT,0.900
15,2,013639,ABRACADEIRA NYLON BRASF.BR 2.5mmx 80mm C/100,PT,0.987
16,2,013306,ABRACADEIRA NYLON BRASF.BR 2.5mmx100mm C/100,PT,1.300
17,2,014450,ABRACADEIRA NYLON BRASF.BR 2.5mmx120mm C/100,PT,1.500
18,2,013640,ABRACADEIRA NYLON BRASF.BR 2.5mmx150mm C/100,PT,1.830
19,2,019104,ABRACADEIRA NYLON BRASF.BR 2.5mmx180mm C/100,PT,2.550
20,2,013641,ABRACADEIRA NYLON BRASF.BR 2.5mmx200mm C/100,PT,2.790
21,2,012050,ABRACADEIRA NYLON BRASF.BR 2.6mmx135mm C/100,PT,2.800
22,2,019106,ABRACADEIRA NYLON BRASF.BR 3.6mmx100mm C/100,PT,2.680
23,2,013307,ABRACADEIRA NYLON BRASF.BR 3.6mmx150mm C/100,PT,3.320
24,2,014463,ABRACADEIRA NYLON BRASF.BR 3.6mmx180mm C/100,PT,3.700
25,2,013642,ABRACADEIRA NYLON BRASF.BR 3.6mmx200mm C/100,PT,4.140
26,2,013643,ABRACADEIRA NYLON BRASF.BR 3.6mmx250mm C/100,PT,4.920
27,2,019107,ABRACADEIRA NYLON BRASF.BR 3.6mmx300mm C/100,PT,6.170
28,2,019108,ABRACADEIRA NYLON BRASF.BR 3.6mmx370mm C/100,PT,9.540
29,2,014451,ABRACADEIRA NYLON BRASF.BR 4.8mmx120mm C/100,PT,3.550
30,2,014452,ABRACADEIRA NYLON BRASF.BR 4.8mmx180mm C/100,PT,4.840
31,2,013309,ABRACADEIRA NYLON BRASF.BR 4.8mmx200mm C/100,PT,5.250
32,2,014453,ABRACADEIRA NYLON BRASF.BR 4.8mmx250mm C/100,PT,8.000
33,2,014454,ABRACADEIRA NYLON BRASF.BR 4.8mmx300mm C/100,PT,8.530
34,2,016680,ABRACADEIRA NYLON BRASF.BR 4.8mmx350mm C/100,PT,11.900
35,2,016681,ABRACADEIRA NYLON BRASF.BR 4.8mmx380mm C/100,PT,13.260
36,2,014455,ABRACADEIRA NYLON BRASF.BR 4.8mmx400mm C/100,PT,14.670
37,2,019109,ABRACADEIRA NYLON BRASF.BR 4.8mmx450mm C/100,PT,17.980
38,2,019110,ABRACADEIRA NYLON BRASF.BR 4.8mmx500mm C/100,PT,19.200
39,2,019111,ABRACADEIRA NYLON BRASF.BR 7.6mmx200mm C/ 50,PT,5.680
40,2,019112,ABRACADEIRA NYLON BRASF.BR 7.6mmx250mm C/ 50,PT,6.220
41,2,019113,ABRACADEIRA NYLON BRASF.BR 7.6mmx300mm C/ 50,PT,7.850
42,2,019114,ABRACADEIRA NYLON BRASF.BR 7.6mmx350mm C/ 50,PT,8.850
43,2,019115,ABRACADEIRA NYLON BRASF.BR 7.6mmx400mm C/ 50,PT,12.600
44,2,019116,ABRACADEIRA NYLON BRASF.BR 7.6mmx450mm C/ 50,PT,13.100
45,2,019117,ABRACADEIRA NYLON BRASF.BR 7.6mmx500mm C/ 50,PT,18.750
46,2,016683,ABRACADEIRA NYLON BRASF.BR 7.9mmx200mm C/ 50,PT,5.950
47,2,019119,ABRACADEIRA NYLON BRASF.PT 2.5mmx100mm C/100,PT,1.300
48,2,019120,ABRACADEIRA NYLON BRASF.PT 2.5mmx150mm C/100,PT,1.830
49,2,019121,ABRACADEIRA NYLON BRASF.PT 2.5mmx200mm C/100,PT,2.800
50,2,019122,ABRACADEIRA NYLON BRASF.PT 3.6mmx150mm C/100,PT,3.320
51,2,019123,ABRACADEIRA NYLON BRASF.PT 3.6mmx200mm C/100,PT,4.150
52,2,019124,ABRACADEIRA NYLON BRASF.PT 3.6mmx250mm C/100,PT,4.950
53,2,019125,ABRACADEIRA NYLON BRASF.PT 4.8mmx200mm C/100,PT,5.280
54,2,019126,ABRACADEIRA NYLON BRASF.PT 4.8mmx300mm C/100,PT,8.570
55,2,019127,ABRACADEIRA NYLON BRASF.PT 4.8mmx400mm C/100,PT,14.750
56,2,019128,ABRACADEIRA NYLON BRASF.PT 7.6mmx200mm C/ 50,PT,5.700
57,2,019129,ABRACADEIRA NYLON BRASF.PT 7.6mmx250mm C/ 50,PT,6.250
58,2,019130,ABRACADEIRA NYLON BRASF.PT 7.6mmx400mm C/ 50,PT,12.625
59,2,000039,ABRACADEIRA P/ANTENA DE TV. INCA,PC,1.180
60,2,102264,ABRACADEIRA P/ELETRODUTO PVC INCA 3/4 C/100,PT,44.650
61,2,038717,ABRACADEIRA FLUOR. ACO CERGE 20/40W,PC,0.203
62,2,006770,ABRACADEIRA FLUOR. ACO INSOL 20/40W-015,PC,0.220
63,2,100606,ABRACADEIRA FLUOR. ACO LUMIBRAS 20/40W - 170,PC,0.290
64,2,018807,ABRACADEIRA FLUOR. ACO REDY 15/30W,PC,0.270
